title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed_id
"痴漢(乳揉み、服の上から)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,","dutch-angle,cowboy shot,portrait,medium close-up,from front","focus on girl,girl focus,main subject girl","","completely nude man,simple man,no face,no detail man,no hair,grabbing another's breast over the clothes,kneeling on the bed,behind the girl","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","","blush,tears,wariza on the ,looking back","","","1","3","17","13"
"痴漢(乳揉み)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,cowboy shot,portrait,medium close-up,from front","focus on girl,girl focus,main subject girl,nipples","","completely nude man,simple man,no face,no detail man,no hair,grabbing another's breast,kneeling on the bed,behind the girl","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","blush,tears,wariza on the bed,looking back,covering own mouth","open clothes,","","1","3","16","14"
"痴漢(手マン)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,cowboy shot,portrait,medium close-up,from front,breast focus,","focus on girl,girl focus,main subject girl,nipples","","completely nude man,simple man,no face,no detail man,no hair,fingering,grabbing another's nipple from behind,kneeling on the bed,behind the girl","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","blush,tears,wariza on the bed,looking back","open clothes,pull up bra,","","1","3","16","15"
"痴漢(手マンM字)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,cowboy shot,portrait,medium close-up,from front,crotch focus,","focus on girl,girl focus,main subject girl,feet out of frame,","","completely nude man,simple man,no face,no detail man,no hair,fingering,grabbing another's nipple from behind,kneeling on the bed,behind the girl","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","blush,tears,embarrassed,sitting on the bed,m legs,spread legs,looking at  viewer,leaning back,","open clothes,pull up bra,","","1","3","16","16"
"痴漢(手マン股間フォーカス)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,lower body focus,legs focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki","focus on girl,girl focus,main subject girl,crotch focus,","","completely nude man,fingering,hands in the panties,kneeling on the bed,behind the girl","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","sitting on the bed,m legs,spread legs","","","1","3","10","17"
"痴漢(絶頂)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,cowboy shot,portrait,medium close-up,from front,crotch focus,","focus on girl,girl focus,main subject girl,feet out of frame,","","completely nude man,simple man,no face,no detail man,no hair,fingering,hands in the panties,grabbing another's nipple from behind,kneeling on the bed,behind the girl","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","nipples,blush,tears,struggle,closing eyes,squirting,forsed orgasm,screaming,sitting on the bed,m legs,spread legs,grabbing another's arm bay both hands","open clothes,pull up bra,","","1","3","16","18"
"痴漢(絶頂)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,cowboy shot,portrait,medium close-up,from front,crotch focus,","focus on girl,girl focus,main subject girl,feet out of frame,","","completely nude man,simple man,no face,no detail man,no hair,fingering,hands in the panties,grabbing another's nipple from behind,kneeling on the bed,behind the girl","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","nipples,blush,tears,struggle,closing eyes,squirting,forsed orgasm,screaming,facing down,leaning forward,sitting on the bed,closing legs,grabbing another's arm bay both hands,","open clothes,pull up bra,","","1","3","16","19"
"手マン、ディープキス","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,cowboy shot,portrait,medium close-up,upper body shot,from side,breasts focus,","focus on girl,girl focus,main subject girl,leaning back,m legs,feet out of frame","","completely nude man,simple man,no face,no detail man,no hair,french kiss,grabbing nipple,back shot,kneeling on thebed,next to the girl,fingering,hands in the panties,","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","drool,tears,blush,against another's body,wariza,sitting on the bed,","open clothes,pull up bra,","","1","3","16","20"
"ディープキス","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from side","focus on girl,girl focus,main subject girl,leaning back","","completely nude man,simple man,no face,no detail man,no hair,french kiss,hoiding girl's head","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,","","","drool,tears,blush,struggling,resisting,trying to break free,defensive posture,pushing away,trying to pull away,fighting back,resisting restraint,sitting on the bed,","open clothes,pull up bra,","","1","3","11","21"
"痴漢(事後)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,cowboy shot,portrait,medium close-upfrom front,face focus,","focus on girl,girl focus,main subject girl,feet out of frame,","","","bedroom,dark,simple room,no furniture,","white bed,","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","nipples,pussy,blush,tears,tired,sad,crying,heavy breath,squirting,forsed orgasm,wariza,sitting on the bed,Squinting,spread legs,upward gaze,facing down,","open clothes,pull up bra,","","1","3","16","22"
