title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,è„â∫ÉtÉâÉO,ÉLÉÉÉâÉwÉbÉ_ÉtÉâÉO,ècâ°î‰,clothesFlg,seed_id
"êGéË(è„îºêg)(óºéËè„Ç∞)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","surprised,blush,tears,sad,crying,sweatdrop,arms together,rising both arms,looking at viewer,body suspended in midair,","pink tentacles,tentacles around the arms,over the clothes,hold up the girl,","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","1","3","1","161"
"êGéË(è„îºêg)(ãπä™Ç´ïtÇ´)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","surprised,blush,tears,sad,crying,sweatdrop,arms together,rising both arms,looking own breast,body suspended in midair,","pink tentacles,tentacles around the arms,over the clothes,tentacles around the chest,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","162"
"êGéË(è„îºêg)(äÁÇ»Çﬂ)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","surprised,blush,tears,sad,crying,sweatdrop,arms together,rising both arms,looking away,body suspended in midair,","pink tentacles,tentacles around the arms,over the clothes,tentacles around the breasts,tentacles licking girl's face,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","163"
"êGéË(è„îºêg)(„¸‰rÇﬂ)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","surprised,blush,tears,sad,crying,sweatdrop,arms together,rising both arms,looking at own armpit,body suspended in midair,","pink tentacles,tentacles around the arms,over the clothes,tentacles around the breasts,tentacles licking girl's armpit,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","164"
"êGéË(â∫îºêg)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","dutch-angle,upper body out of frame,lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki","focus on girl,girl focus,main subject girl","sweatdrop,body suspended in midair,","pink tentacles,tentacles around the waist,over the clothes,tentacles around the thigh,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,","","","torn clothes,","3","1","3","9","165"
"êGéË(â∫îºêg)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","dutch-angle,upper body out of frame,lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki","focus on girl,girl focus,main subject girl","sweatdrop,spread legs,body suspended in midair,","pink tentacles,tentacles around the waist,over the clothes,tentacles around the thigh,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","torn clothes,","3","1","3","10","167"
"êGéË(â∫îºêg)(ÉpÉìÉcÉCÉì)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","dutch-angle,upper body out of frame,lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki","focus on girl,girl focus,main subject girl","sweatdrop,body suspended in midair,","pink tentacles,tentacles around the waist,over the clothes,tentacles around the thigh,tentacles in panties,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","torn clothes,","3","1","3","10","168"
"êGéË(â∫îºêg)(ÉpÉìÉcÉCÉì)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","dutch-angle,upper body out of frame,lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki","focus on girl,girl focus,main subject girl","sweatdrop,m legs,body suspended in midair,","pink tentacles,tentacles around the waist,over the clothes,tentacles around the thigh,tentacles in panties,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","torn clothes,","3","1","3","10","169"
"êGéË(äÁ)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","blush,tears,sad,crying,sweatdrop,looking ahead,","pink tentacles,tentacles around the girl,over the clothes,","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","170"
"êGéË(äÁ)(å˚)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","blush,tears,sad,crying,sweatdrop,looking ahead,","pink tentacles,tentacles around the girl,over the clothes,tentacles in mouth","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","171"
"êGéË(äÁ)(äÁ‰rÇﬂ)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","blush,tears,sad,crying,sweatdrop,looking ahead,nipples,","pink tentacles,tentacles around the girl,over the clothes,licking face,","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","175"
"êGéË(äÁ)(ì˚éÒ‰rÇﬂ)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","blush,tears,sad,crying,sweatdrop,looking ahead,nipples,","pink tentacles,tentacles around the girl,over the clothes,licking nipple,","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","176"
"êGéË(äÁ)(íJä‘)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl","blush,tears,sad,crying,sweatdrop,looking ahead,nipples,","pink tentacles,tentacles around the girl,over the clothes,licking nipple,stucking in the cleavage","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","torn clothes,","3","1","3","1","177"
"êGéË(â∫îºêg)(ÉpÉìÉcÉCÉì)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","dutch-angle,upper body out of frame,lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki","focus on girl,girl focus,main subject girl,pussy,","sweatdrop,m legs,body suspended in midair,","pink tentacles,tentacles around the waist,over the clothes,tentacles around the thigh,tentacles in panties,hold up the girl","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","torn clothes,","3","1","3","10","178"
"êGéË(â∫îºêg)(ë}ì¸)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","dutch-angle,upper body out of frame,lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki","focus on girl,girl focus,main subject girl,pussy,","sweatdrop,m legs,body suspended in midair,","pink tentacles,tentacles around the waist,over the clothes,tentacles around the thigh,tentacles in panties,hold up the girl,penetration in the pussy,","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","torn clothes,","3","1","3","10","179"
"êGéË(ëSêg)(ë}ì¸)","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","girl focus,focus on girl,main subject,portrait,dutch-angle,from front,cowboy shot,straight-on,","focus on girl,girl focus,main subject girl,pussy,nipples,","sweatdrop,m legs,body suspended in midair,","pink tentacles,tentacles around the waist,over the clothes,tentacles around the thigh,tentacles in panties,hold up the girl,penetration in the pussy,","dark forest,dense trees, wet bark,silent and eerie atmosphere,in air,","misty night air,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","torn clothes,","3","1","3","10","180"
