title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed_id
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from front,","focus on girl,girl focus,main subject girl,","looking at viewer,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","184"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from side,","focus on girl,girl focus,main subject girl,","looking at viewer,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","185"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from front,","focus on girl,girl focus,main subject girl,","looking away,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","186"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from side,","focus on girl,girl focus,main subject girl,","looking away,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","187"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from front,","focus on girl,girl focus,main subject girl,","upward gaze,glaring at viewer,disgust,distain,,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","188"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from side,","focus on girl,girl focus,main subject girl,","upward gaze,glaring at viewer,disgust,distain,,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","189"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from front,","focus on girl,girl focus,main subject girl,","sideways glance at viewer,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","190"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","extreme close-up,portrait,head shot,face only,upper body,focus on face,from side,","focus on girl,girl focus,main subject girl,","sideways glance at viewer,embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","191"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from front","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","192"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from side","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","193"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","back focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from behind,","focus on girl,girl focus,main subject girl,back","embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","3","2","","1","194"
