title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed
"フェラ(見せつけ)","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","upper body shot,from side,side shot,face focus,","focus on girl,girl focus,main subject girl,nipples","","completely nude man,penis,stand up in front of the girl,grabbing head","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","tears,sad,nipples,sitting,the hands against another's body","open clothes,pull up bra,","","1","3","16","l:2295462796"
"フェラ(掴み)","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front","focus on girl,girl focus,main subject girl,nipples","","completely nude man,penis,stand up in front of the girl,grabbing head","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","tears,sad,nipples,wariza,grabbing penis by both hands,the hands against another's body","open clothes,pull up bra,","","1","3","16","n:3826956911,n:4195594507,l:3293330060"
"フェラ(フェラ)","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","dutch-angle,upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front","focus on girl,girl focus,main subject girl,nipples","","completely nude man,penis,stand up in front of the girl,grabbing head","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","tears,sad,nipples,open clothes,fellatio,wariza,grabbing penis by both hands,","open clothes,pull up bra,","","1","3","16","n:167993025,l:2666800193,l:3107743033,l:3248553091,r:1044846879"
"フェラ(フェラ上から)","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from above","focus on girl,girl focus,main subject girl,nipples","","completely nude man,pov crotch,simple man,no face,no detail man,no hair,penis,stand up in front of the girl,","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","tears,sad,nipples,open clothes,fellatio,wariza,grabbing penis by both hands,","open clothes,pull up bra,","","1","3","16","l:2566160629,l:3496116713,r:1929705214,r:2827684544,r:674644555"
"フェラ","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl,nipples","","completely nude man,penis,stand up in front of the girl,grabbing head","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","tears,sad,nipples,open clothes,fellatio,wariza,grabbing penis by both hands,","open clothes,pull up bra,","","1","3","16","r:2029466447,r:79351064"
"フェラ","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl,nipples","","completely nude man,pov crotch,simple man,no face,no detail man,no hair,penis,stand up in front of the girl,","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","tears,sad,nipples,open clothes,fellatio,wariza,grabbing penis by both hands,","open clothes,pull up bra,","","1","3","16","n:598320529,n:827564141,l:1425521592,l:3111404460,r:2250018948,r:876020372"
"パイズリ","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","from above,girl focus,face focus,","focus on girl,girl focus,main subject girl,sitting,nipples","","penis,out of frame,cropped man's thigh,cropped man's legs,completely nude man,pov crotch,pov legs,stand up","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","upward gaze,tears,sad,nipples,open clothes,paizuri,grabbing own breast,","open clothes,pull up bra,","","1","3","16","r:153223633,r:1812075451"
"パイズリ","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","from above,girl focus,face focus,","focus on girl,girl focus,main subject girl,sitting,nipples","","penis,out of frame,cropped man's thigh,cropped man's legs,completely nude man,pov crotch,pov legs,stand up,cum shot","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","upward gaze,facial,bukkake,surprised,tears,sad,nipples,open clothes,paizuri,grabbing own breast,","open clothes,pull up bra,","","1","3","16","r:36949202"
"パイズリ","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl,sitting,nipples","","penis,out of frame,cropped man's thigh,cropped man's legs,completely nude man,pov crotch,pov legs,stand up","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","upward gaze,tears,sad,nipples,open clothes,paizuri,grabbing own breast,","open clothes,pull up bra,","","1","3","16","n:3753679804,l:2840686624,r:1459354520"
"パイズリ","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,","extreme close-up,portrait,head shot,face only,cropped face,upper body,focus on face,from front","focus on girl,girl focus,main subject girl,sitting,nipples","","penis,out of frame,cropped man's thigh,cropped man's legs,completely nude man,pov crotch,pov legs,stand up,cum shot","love hotel,pink room,simple room,no furniture,","","pink sheets,pink pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","upward gaze,facial,bukkake,surprised,tears,sad,nipples,open clothes,paizuri,grabbing own breast,","open clothes,pull up bra,","","1","3","16",""
