title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed
"睡眠↑","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","","girl,solo","upper body shot,from above,breasts focus,","focus on girl,girl focus,main subject girl","sleeping,the head on the bed,lying on back on the bed,","","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","","2","3","1","n:3943046838,l:1960602616,l:3916553139,r:2292721867,r:2677977604"
"睡眠横","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","","girl,solo","upper body shot,from above,breasts focus,","focus on girl,girl focus,main subject girl","sleeping,the head on the bed,lying on side on the bed,","","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,","","","","","","2","3","1","n:4190160834,n:920659729,l:3620669106,r:3774145142"
"睡眠M字","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","","girl,solo","girl focus,focus on girl,main subject,portrait,close-up,lower body shot,straight-on,crotch focus,feet out of frame","focus on girl,girl focus,main subject girl","sleeping,m legs,the head on the bed,lying on back on the bed,m legs,","","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","","","2","3","8","n:623084140,l:1159603927"
"睡眠痴漢","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","","1 girl,1 man","man pov,upper body shot,from above,breasts focus,straight-on,","","","completely nude man,out of frame,grabbing breasts,out of frame,","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,","","","sleeping,the head on the bed,lying on back on the bed,","","","2","3","11","n:1228313130,r:471692907"
"睡眠痴漢","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","","1 girl,1 man","man pov,upper body shot,from above,breasts focus,straight-on,","","","completely nude man,out of frame,grabbing breasts,out of frame,","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","","","sleeping,the head on the bed,lying on back on the bed,","open clothes,","","2","3","14","n:560271105,r:3851911597"
"睡眠痴漢","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,1 man","man pov,upper body shot,from above,breasts focus,straight-on,","","","completely nude man,out of frame,grabbing breasts,out of frame,","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","","","sleeping,the head on the bed,lying on back on the bed,","open clothes,pull up bra,","","2","3","14","l:4050029844,l:955644429"
"睡眠痴漢","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,1 man","man pov,upper body shot,from above,breasts focus,straight-on,","focus on girl,girl focus,main subject girl,nipples","","completely nude man,out of frame,grabbing breasts,out of frame,","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","","","sleeping,the head on the bed,lying on back on the bed,tears,blush,","open clothes,pull up bra,","","2","3","14","n:2563614551,l:2345811663"
"睡眠痴漢(乳首抓り)","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,1 man","man pov,upper body shot,from above,breasts focus,straight-on,","focus on girl,girl focus,main subject girl,nipples","","completely nude man,out of frame,grabbing breasts,pinching nipple,out of frame,","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","","","sleeping,the head on the bed,lying on back on the bed,tears,blush,screaming,","open clothes,pull up bra,","","2","3","14","l:2019284675,r:2712626784"
"睡眠痴漢乳首舐め","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,1 man","upper body shot,from above,breasts focus,straight-on,","focus on girl,girl focus,main subject girl,nipples","","completely nude man,simple man,no face,no detail man,no hair,licking nipple,grabbing nipple,back shot,next to the girl","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","","","sleeping,the head on the ,lying on back on the ,tears,blush,screaming,","open clothes,pull up bra,","","2","3","14","l:3547080356,r:447687125"
"睡眠痴漢乳首しゃぶり","masterpiece,best quality,very aesthetic,absurdres,high-quality anime illustration,detailed shading,simple background,vibrant colors,high resolution","game cg,anime style,anime coloring,depth of field","nsfw,mosaic censoring","1 girl,1 man","girl focus,focus on girl,main subject,portrait,close-up,lower body shot,chest shot,from above,breasts focus,straight-on,","focus on girl,girl focus,main subject girl,nipples","","completely nude man,simple man,no face,no detail man,no hair,sucking on the nipple,grabbing nipple,back shot,next to the girl","bedroom,dark,simple room,no furniture,","","white sheets,white pillow,","white short-sleeved gym shirt with red collar and sleeve bands,,white bra,","","","sleeping,the head on the bed,lying on back on the bed,tears,blush,screaming,","open clothes,pull up bra,","","2","3","14","l:3729890340,r:2442823016"
